	mgm4472305.3	mgm4478487.3	mgm4472484.3	mgm4472353.3	mgm4472253.3	mgm4472255.3	mgm4472160.3	mgm4472167.3	mgm4472304.3	mgm4472495.3	mgm4478571.3	mgm4472397.3	mgm4472751.3	mgm4472419.3	mgm4472312.3	mgm4473472.3	mgm4473666.3	mgm4472462.3	mgm4472444.3	mgm4472428.3	mgm4472586.3	mgm4472361.3	mgm4472580.3	mgm4472682.3	mgm4472464.3	mgm4472473.3	mgm4472337.3	mgm4472467.3	mgm4472934.3	mgm4473326.3
library.data.sample_name	SRR059857	SRR062080	SRR060376	SRR059907	SRR059509	SRR059511	SRR059374	SRR059381	SRR059856	SRR060387	SRR062505	SRR059995	SRR061311	SRR060033	SRR059865	SRR062498	SRR063746	SRR060354	SRR060121	SRR060042	SRR061140	SRR059915	SRR061134	SRR061236	SRR060356	SRR060365	SRR059891	SRR060359	SRR061494	SRR062350
library.data.seq_center	Broad Institute	Broad Institute	Broad Institute	Broad Institute	Broad Institute	Broad Institute	Broad Institute	Broad Institute	Broad Institute	Broad Institute	Washington University Genome Institute	Baylor College of Medicine	Washington University Genome Institute	J. Craig Venter Institute	Broad Institute	Washington University Genome Institute	J. Craig Venter Institute	Broad Institute	Baylor College of Medicine	J. Craig Venter Institute	Washington University Genome Institute	Broad Institute	Washington University Genome Institute	Washington University Genome Institute	Broad Institute	Broad Institute	Broad Institute	Broad Institute	Washington University Genome Institute	Washington University Genome Institute
library.data.seq_meth																														
library.data.seq_model	Illumina Genome Analyzer II	Illumina Genome Analyzer II	Illumina Genome Analyzer II	Illumina Genome Analyzer II	Illumina Genome Analyzer II	Illumina Genome Analyzer II	Illumina Genome Analyzer II	Illumina Genome Analyzer II	Illumina Genome Analyzer II	Illumina Genome Analyzer II	Illumina Genome Analyzer II	Illumina Genome Analyzer II	Illumina Genome Analyzer II	Illumina Genome Analyzer II	Illumina Genome Analyzer II	Illumina Genome Analyzer II	Illumina Genome Analyzer II	Illumina Genome Analyzer II	Illumina Genome Analyzer II	Illumina Genome Analyzer II	Illumina Genome Analyzer II	Illumina Genome Analyzer II	Illumina Genome Analyzer II	Illumina Genome Analyzer II	Illumina Genome Analyzer II	Illumina Genome Analyzer II	Illumina Genome Analyzer II	Illumina Genome Analyzer II	Illumina Genome Analyzer II	Illumina Genome Analyzer II
library.data.seq_url	http://www.broadinstitute.org/	http://www.broadinstitute.org/	http://www.broadinstitute.org/	http://www.broadinstitute.org/	http://www.broadinstitute.org/	http://www.broadinstitute.org/	http://www.broadinstitute.org/	http://www.broadinstitute.org/	http://www.broadinstitute.org/	http://www.broadinstitute.org/	http://genome.wustl.edu/	http://www.bcm.edu/	http://genome.wustl.edu/	http://www.jcvi.org/	http://www.broadinstitute.org/	http://genome.wustl.edu/	http://www.jcvi.org/	http://www.broadinstitute.org/	http://www.bcm.edu/	http://www.jcvi.org/	http://genome.wustl.edu/	http://www.broadinstitute.org/	http://genome.wustl.edu/	http://genome.wustl.edu/	http://www.broadinstitute.org/	http://www.broadinstitute.org/	http://www.broadinstitute.org/	http://www.broadinstitute.org/	http://genome.wustl.edu/	http://genome.wustl.edu/
library.id	mgl58593	mgl61350	mgl59130	mgl58737	mgl58440	mgl58446	mgl58173	mgl58194	mgl58590	mgl59163	mgl62106	mgl58869	mgl59928	mgl58935	mgl58614	mgl62085	mgl62625	mgl59064	mgl59010	mgl58962	mgl59436	mgl58761	mgl59418	mgl59724	mgl59070	mgl59097	mgl58689	mgl59079	mgl60477	mgl61650
library.name	SRR059857	SRR062080	SRR060376	SRR059907	SRR059509	SRR059511	SRR059374	SRR059381	SRR059856	SRR060387	SRR062505	SRR059995	SRR061311	SRR060033	SRR059865	SRR062498	SRR063746	SRR060354	SRR060121	SRR060042	SRR061140	SRR059915	SRR061134	SRR061236	SRR060356	SRR060365	SRR059891	SRR060359	SRR061494	SRR062350
library.type	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS
mixs.biome	terrestrial biome	terrestrial biome	terrestrial biome	terrestrial biome	terrestrial biome	terrestrial biome	terrestrial biome	terrestrial biome	terrestrial biome	terrestrial biome	terrestrial biome	terrestrial biome	terrestrial biome	terrestrial biome	terrestrial biome	terrestrial biome	terrestrial biome	terrestrial biome	terrestrial biome	terrestrial biome	terrestrial biome	terrestrial biome	terrestrial biome	terrestrial biome	terrestrial biome	terrestrial biome	terrestrial biome	terrestrial biome	terrestrial biome	terrestrial biome
mixs.collection_date	2009-01-01	2009-01-01	2009-01-01	2009-01-01	2009-01-01	2009-01-01	2009-01-01	2009-01-01	2009-01-01	2009-01-01	2009-01-01	2009-01-01	2009-01-01	2009-01-01	2009-01-01	2009-01-01	2009-01-01	2009-01-01	2009-01-01	2009-01-01	2009-01-01	2009-01-01	2009-01-01	2009-01-01	2009-01-01	2009-01-01	2009-01-01	2009-01-01	2009-01-01	2009-01-01
mixs.country	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America
mixs.env_package_type	human-oral	human-oral	human-oral	human-oral	human-oral	human-oral	human-oral	human-oral	human-oral	human-oral	human-oral	human-oral	human-oral	human-oral	human-oral	human-oral	human-oral	human-oral	human-oral	human-oral	human-gut	human-gut	human-gut	human-gut	human-gut	human-gut	human-gut	human-gut	human-gut	human-gut
mixs.feature	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat
mixs.latitude																														
mixs.location																														
mixs.longitude																														
mixs.material	mucus	mucus	mucus	mucus	mucus	mucus	mucus	mucus	mucus	mucus	mucus	mucus	mucus	mucus	mucus	mucus	mucus	mucus	mucus	mucus	feces	feces	feces	feces	feces	feces	feces	feces	feces	feces
mixs.PI_firstname	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 
mixs.PI_lastname	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 
mixs.project_id	mgp385	mgp385	mgp385	mgp385	mgp385	mgp385	mgp385	mgp385	mgp385	mgp385	mgp385	mgp385	mgp385	mgp385	mgp385	mgp385	mgp385	mgp385	mgp385	mgp385	mgp385	mgp385	mgp385	mgp385	mgp385	mgp385	mgp385	mgp385	mgp385	mgp385
mixs.project_name	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)
mixs.seq_method																														
mixs.sequence_type	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS	WGS
project.data.administrative-contact_PI_email	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov
project.data.administrative-contact_PI_organization	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)
project.data.administrative-contact_PI_organization_address	9000 Rockville Pike, Bethesda, Maryland 20892	9000 Rockville Pike, Bethesda, Maryland 20892	9000 Rockville Pike, Bethesda, Maryland 20892	9000 Rockville Pike, Bethesda, Maryland 20892	9000 Rockville Pike, Bethesda, Maryland 20892	9000 Rockville Pike, Bethesda, Maryland 20892	9000 Rockville Pike, Bethesda, Maryland 20892	9000 Rockville Pike, Bethesda, Maryland 20892	9000 Rockville Pike, Bethesda, Maryland 20892	9000 Rockville Pike, Bethesda, Maryland 20892	9000 Rockville Pike, Bethesda, Maryland 20892	9000 Rockville Pike, Bethesda, Maryland 20892	9000 Rockville Pike, Bethesda, Maryland 20892	9000 Rockville Pike, Bethesda, Maryland 20892	9000 Rockville Pike, Bethesda, Maryland 20892	9000 Rockville Pike, Bethesda, Maryland 20892	9000 Rockville Pike, Bethesda, Maryland 20892	9000 Rockville Pike, Bethesda, Maryland 20892	9000 Rockville Pike, Bethesda, Maryland 20892	9000 Rockville Pike, Bethesda, Maryland 20892	9000 Rockville Pike, Bethesda, Maryland 20892	9000 Rockville Pike, Bethesda, Maryland 20892	9000 Rockville Pike, Bethesda, Maryland 20892	9000 Rockville Pike, Bethesda, Maryland 20892	9000 Rockville Pike, Bethesda, Maryland 20892	9000 Rockville Pike, Bethesda, Maryland 20892	9000 Rockville Pike, Bethesda, Maryland 20892	9000 Rockville Pike, Bethesda, Maryland 20892	9000 Rockville Pike, Bethesda, Maryland 20892	9000 Rockville Pike, Bethesda, Maryland 20892
project.data.administrative-contact_PI_organization_country	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America
project.data.administrative-contact_PI_organization_url	http://www.hmpdacc.org	http://www.hmpdacc.org	http://www.hmpdacc.org	http://www.hmpdacc.org	http://www.hmpdacc.org	http://www.hmpdacc.org	http://www.hmpdacc.org	http://www.hmpdacc.org	http://www.hmpdacc.org	http://www.hmpdacc.org	http://www.hmpdacc.org	http://www.hmpdacc.org	http://www.hmpdacc.org	http://www.hmpdacc.org	http://www.hmpdacc.org	http://www.hmpdacc.org	http://www.hmpdacc.org	http://www.hmpdacc.org	http://www.hmpdacc.org	http://www.hmpdacc.org	http://www.hmpdacc.org	http://www.hmpdacc.org	http://www.hmpdacc.org	http://www.hmpdacc.org	http://www.hmpdacc.org	http://www.hmpdacc.org	http://www.hmpdacc.org	http://www.hmpdacc.org	http://www.hmpdacc.org	http://www.hmpdacc.org
project.data.email	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 
project.data.firstname	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 
project.data.lastname	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 
project.data.misc_param	SRA024300,SRS049900,SRX027122	SRA024300,SRS049900,SRX027122	SRA024300,SRS049900,SRX027122	SRA024300,SRS049900,SRX027122	SRA024300,SRS049900,SRX027122	SRA024300,SRS049900,SRX027122	SRA024300,SRS049900,SRX027122	SRA024300,SRS049900,SRX027122	SRA024300,SRS049900,SRX027122	SRA024300,SRS049900,SRX027122	SRA024300,SRS049900,SRX027122	SRA024300,SRS049900,SRX027122	SRA024300,SRS049900,SRX027122	SRA024300,SRS049900,SRX027122	SRA024300,SRS049900,SRX027122	SRA024300,SRS049900,SRX027122	SRA024300,SRS049900,SRX027122	SRA024300,SRS049900,SRX027122	SRA024300,SRS049900,SRX027122	SRA024300,SRS049900,SRX027122	SRA024300,SRS049900,SRX027122	SRA024300,SRS049900,SRX027122	SRA024300,SRS049900,SRX027122	SRA024300,SRS049900,SRX027122	SRA024300,SRS049900,SRX027122	SRA024300,SRS049900,SRX027122	SRA024300,SRS049900,SRX027122	SRA024300,SRS049900,SRX027122	SRA024300,SRS049900,SRX027122	SRA024300,SRS049900,SRX027122
project.data.organization	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 
project.data.organization_address	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 
project.data.organization_country	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 
project.data.organization_url	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 
project.data.PI_email	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov	HMPinformation@mail.nih.gov
project.data.PI_firstname	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 
project.data.PI_lastname	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 
project.data.PI_organization	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)	National Institutes of Health (NIH)
project.data.PI_organization_address	_9000 Rockville Pike, Bethesda, Maryland 20892	_9000 Rockville Pike, Bethesda, Maryland 20892	_9000 Rockville Pike, Bethesda, Maryland 20892	_9000 Rockville Pike, Bethesda, Maryland 20892	_9000 Rockville Pike, Bethesda, Maryland 20892	_9000 Rockville Pike, Bethesda, Maryland 20892	_9000 Rockville Pike, Bethesda, Maryland 20892	_9000 Rockville Pike, Bethesda, Maryland 20892	_9000 Rockville Pike, Bethesda, Maryland 20892	_9000 Rockville Pike, Bethesda, Maryland 20892	_9000 Rockville Pike, Bethesda, Maryland 20892	_9000 Rockville Pike, Bethesda, Maryland 20892	_9000 Rockville Pike, Bethesda, Maryland 20892	_9000 Rockville Pike, Bethesda, Maryland 20892	_9000 Rockville Pike, Bethesda, Maryland 20892	_9000 Rockville Pike, Bethesda, Maryland 20892	_9000 Rockville Pike, Bethesda, Maryland 20892	_9000 Rockville Pike, Bethesda, Maryland 20892	_9000 Rockville Pike, Bethesda, Maryland 20892	_9000 Rockville Pike, Bethesda, Maryland 20892	_9000 Rockville Pike, Bethesda, Maryland 20892	_9000 Rockville Pike, Bethesda, Maryland 20892	_9000 Rockville Pike, Bethesda, Maryland 20892	_9000 Rockville Pike, Bethesda, Maryland 20892	_9000 Rockville Pike, Bethesda, Maryland 20892	_9000 Rockville Pike, Bethesda, Maryland 20892	_9000 Rockville Pike, Bethesda, Maryland 20892	_9000 Rockville Pike, Bethesda, Maryland 20892	_9000 Rockville Pike, Bethesda, Maryland 20892	_9000 Rockville Pike, Bethesda, Maryland 20892
project.data.PI_organization_country	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America	United States of America
